2025-04-01 10:27:23,663 INFO    MainThread:29376 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-01 10:27:23,664 INFO    MainThread:29376 [wandb_setup.py:_flush():67] Configure stats pid to 29376
2025-04-01 10:27:23,664 INFO    MainThread:29376 [wandb_setup.py:_flush():67] Loading settings from C:\Users\mhroh\.config\wandb\settings
2025-04-01 10:27:23,664 INFO    MainThread:29376 [wandb_setup.py:_flush():67] Loading settings from C:\Users\mhroh\Depth_Anything\wandb\settings
2025-04-01 10:27:23,664 INFO    MainThread:29376 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-01 10:27:23,664 INFO    MainThread:29376 [wandb_init.py:setup_run_log_directory():647] Logging user logs to C:\Users\mhroh\Depth_Anything\wandb\run-20250401_102723-qr7d8adl\logs\debug.log
2025-04-01 10:27:23,665 INFO    MainThread:29376 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to C:\Users\mhroh\Depth_Anything\wandb\run-20250401_102723-qr7d8adl\logs\debug-internal.log
2025-04-01 10:27:23,665 INFO    MainThread:29376 [wandb_init.py:init():761] calling init triggers
2025-04-01 10:27:23,665 INFO    MainThread:29376 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'epochs': 20, 'batch_size': 8, 'learning_rate': 0.0008, 'patient': 3, 'train_data_size': 800, 'val_data_size': 32, '_wandb': {}}
2025-04-01 10:27:23,665 INFO    MainThread:29376 [wandb_init.py:init():784] starting backend
2025-04-01 10:27:23,665 INFO    MainThread:29376 [wandb_init.py:init():788] sending inform_init request
2025-04-01 10:27:23,682 INFO    MainThread:29376 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-01 10:27:23,682 INFO    MainThread:29376 [wandb_init.py:init():798] backend started and connected
2025-04-01 10:27:23,683 INFO    MainThread:29376 [wandb_init.py:init():891] updated telemetry
2025-04-01 10:27:23,736 INFO    MainThread:29376 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-01 10:27:24,242 INFO    MainThread:29376 [wandb_init.py:init():990] starting run threads in backend
2025-04-01 10:27:24,452 INFO    MainThread:29376 [wandb_run.py:_console_start():2375] atexit reg
2025-04-01 10:27:24,452 INFO    MainThread:29376 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-01 10:27:24,452 INFO    MainThread:29376 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-01 10:27:24,452 INFO    MainThread:29376 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-01 10:27:24,455 INFO    MainThread:29376 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-01 10:27:26,121 INFO    MainThread:29376 [wandb_watch.py:_watch():71] Watching
2025-04-01 10:34:16,725 INFO    MsgRouterThr:29376 [mailbox.py:close():129] Closing mailbox, abandoning 1 handles.
